U,E_p,m_cdw,m_sdw,V,S,E_GS,coherence,E_p_bits
-4.758620689655173,0.1571583090203632,0.09052025665218333,0.05127320950210284,-3.4482758620689653,0.22561496044066034,-49.301873609150256,0.19591325336978105,0.2267315130581733
-4.758620689655173,0.003785991026669766,0.07258214201679236,0.0681212204473349,-3.1724137931034484,0.1403237280661169,-46.59292306815378,0.2069465984777786,0.005462030479026492
-4.758620689655173,0.0027389165184781294,0.17018673131066844,-0.025359099170330027,-2.896551724137931,0.17414496739946786,-43.88266391760051,0.22533566856756354,0.003951421278617584
-4.758620689655173,0.0073951385045401,0.1429490226287544,0.0007250236274361123,-2.6206896551724137,0.1866968145698811,-41.177764711612724,0.2459322181251595,0.010668929647186687
-4.758620689655173,0.012042908494274807,0.1397103756289342,0.003973453540272718,-2.3448275862068964,0.19572618597544406,-38.483469583801565,0.26408931572156663,0.01737424436256907
-4.758620689655173,0.010738800062821019,0.15328220317989724,-0.007400459800467457,-2.0689655172413794,0.20440838193980795,-35.804381548270335,0.2799950827678181,0.015492813595729515
-4.758620689655173,0.012687518093975836,0.1551215728327959,-0.007600794952540795,-1.793103448275862,0.21768469289933132,-33.14589008876939,0.3006379331653422,0.018304219435367308
-4.758620689655173,0.1745308576595297,0.15665684864609095,-0.006233139661985752,-1.5172413793103448,0.31949251033837534,-30.5185453158583,0.35853251981621803,0.25179480282750033
-4.758620689655173,0.10941483983164546,0.16098347648602088,-0.006186630286130636,-1.2413793103448276,0.29632669725252186,-27.93028138990923,0.376142404006045,0.1578522468247754
-4.758620689655173,0.1758858957577243,0.1665196289423083,-0.0033230789868806876,-0.9655172413793104,0.35524580897564473,-25.403381843667876,0.42052279315571817,0.25374970957198206
-4.758620689655173,0.23872697496613982,0.17582112311127115,0.0013424027767089594,-0.6896551724137931,0.4210887143817271,-22.970943995419688,0.4761929957853927,0.34441022291007295
-4.758620689655173,0.2957751740114458,0.2088918594430472,-0.0011248196121630436,-0.41379310344827586,0.5345629210711281,-20.775123867903933,0.6149987921829606,0.4267133767643827
-4.758620689655173,0.34588385068036387,0.11756746032447532,-0.029038601835677073,-0.13793103448275862,0.6580006921885995,-19.21737262384396,0.7133653890949498,0.4990049161001404
-4.758620689655173,0.35948757344924176,-0.11442836491709453,-0.03776055343282299,0.13793103448275862,0.659683455611341,-18.207167898918154,0.7028593512943105,0.5186309394764277
-4.758620689655173,0.32897329853219337,-0.3165657267004018,-0.04964539293205543,0.41379310344827586,0.5933678673486504,-17.509315285303966,0.6554381250261767,0.47460814637727866
-4.758620689655173,0.2642761982944293,-0.48880586520447444,-0.06739295762614418,0.6896551724137931,0.5075531362377476,-16.98826871094024,0.6038137715610626,0.38126996070436103
-4.758620689655173,0.19220670683151897,-0.6118069707327541,-0.08534146553463748,0.9655172413793104,0.42733288982940715,-16.596645157130407,0.5522659106249608,0.27729566277143025
-4.758620689655173,0.1353333024566974,-0.688490453881899,-0.09987817936575147,1.2413793103448276,0.3672701256498049,-16.301273779036038,0.5066996241005185,0.19524468432140285
-4.758620689655173,0.09612871569151094,-0.7353834888475718,-0.11060028527002082,1.5172413793103448,0.32569275948211507,-16.074302872769152,0.46967582672114194,0.13868442141516768
-4.758620689655173,0.06989807720771979,-0.7651355681973817,-0.11829970251274256,1.793103448275862,0.296951298285198,-15.895474343466644,0.44007822771355626,0.1008416093552511
-4.758620689655173,0.05217940569280266,-0.7849602982859015,-0.12383634865797995,2.0689655172413794,0.27659858874853827,-15.751072462752747,0.41624333251268225,0.0752789698295393
