U,E_p,V,S,E_GS,Coh,E_p_bits
-5.020408163265306,0.009155743990326926,-3.3469387755102042,0.24693246782435602,-30.806705120235197,0.2819481983599192,0.013208946450493642
-5.020408163265306,0.009561688911604804,-3.183673469387755,0.2502831570724004,-29.853607282364795,0.2879418110148225,0.013794601175295629
-5.020408163265306,0.010064490389497527,-3.020408163265306,0.254032289682531,-28.902799646676222,0.2943804088001716,0.0145199903740032
-5.020408163265306,0.00953707163396289,-2.857142857142857,0.257821215378948,-27.954571490565204,0.30023690870920205,0.013759085950920902
-5.020408163265306,0.011565486497556288,-2.693877551020408,0.26301307425746306,-27.009336481187237,0.30885819042656193,0.016685470015492587
-5.020408163265306,0.012308755120294057,-2.5306122448979593,0.2682721409965431,-26.067465794975433,0.3167236142466878,0.017757779971564247
-5.020408163265306,0.013927746041261013,-2.36734693877551,0.2744717805194482,-25.129483307811864,0.32578197185857527,0.020093490144488246
-5.020408163265306,0.015592032686553292,-2.204081632653061,0.28138118387901145,-24.195983174722134,0.3353374526106477,0.022494548234269107
-5.020408163265306,0.017813422997166928,-2.0408163265306123,0.2892873381254385,-23.267677082674506,0.3458312504706523,0.025699337019270185
-5.020408163265306,0.020489290026882045,-1.8775510204081634,0.2982338599288643,-22.345413311119536,0.35715968978939994,0.02955979711311807
-5.020408163265306,0.0240419017691762,-1.7142857142857142,0.3084895963286397,-21.430206255335275,0.36966258718069966,0.03468513245592986
-5.020408163265306,0.028676283649246903,-1.5510204081632653,0.32022630568988664,-20.52327469002613,0.3834614785704502,0.0413711322118937
-5.020408163265306,0.034791637333660974,-1.3877551020408163,0.33369632131148436,-19.626093590968217,0.39881212314051906,0.050193722645679895
-5.020408163265306,0.043036623288614795,-1.2244897959183674,0.3492719417986689,-18.74047735173759,0.4161295765472999,0.06208872299509105
-5.020408163265306,0.05450384923464391,-1.0612244897959184,0.3675884916048816,-17.868736509093257,0.43610424209218007,0.07863243300018041
-5.020408163265306,0.07121295955000506,-0.8979591836734694,0.3899263590026262,-17.014023364855618,0.4599580080504279,0.10273858358981869
-5.020408163265306,0.0971509157701409,-0.7346938775510204,0.4191387472261006,-16.181191718560964,0.4898450746540548,0.14015914439940325
-5.020408163265306,0.14014263145261174,-0.5714285714285714,0.4617172837318974,-15.379117000295649,0.5290591971384319,0.20218307941381264
-5.020408163265306,0.21100854507371847,-0.40816326530612246,0.5295064173997375,-14.62691273556232,0.578761830736954,0.304420981563049
