m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,m_cdw,coh_2rdm,Q_2,U
9.414344304126132e-15,1.6565656565656566,6.987026854384338,0.30060898233471134,0.20836626855630014,0.0,0.6682483196839792,6.375108774214766e-13,0.0,0.0,2.484848484848485
2.449776492774447e-14,1.7373737373737375,8.177802561721856,0.3083611020526371,0.21373962848214267,0.0,0.6601289431348033,1.7388937512130553e-12,0.0,0.0,2.606060606060606
1.2057629200645792e-13,1.8181818181818181,9.3593805703622,0.3163042285907025,0.21924538424683426,0.0,0.6517712725276485,1.3509054985760827e-12,0.0,0.0,2.727272727272727
5.241536371602962e-13,1.898989898989899,10.531938680536243,0.32440779781866835,0.22486235040967095,0.0,0.6432313793858261,1.1521686382742757e-12,0.0,0.0,2.8484848484848486
3.903214557121615e-14,1.97979797979798,11.695679891796924,0.3326376922363412,0.23056687852158708,0.0,0.6345663779258713,4.3690745465951863e-13,0.0,0.0,2.9696969696969697
2.463307335887066e-16,2.0606060606060606,12.850830297274415,0.34095770552570537,0.2363338722753312,0.0,0.6258323664435976,8.696238174010773e-13,0.0,0.0,3.090909090909091
2.3895815881580518e-15,2.1414141414141414,13.99763608940506,0.3493310269176093,0.24213781639005072,0.0,0.6170826777396576,2.0347751261695635e-12,0.0,0.0,3.212121212121212
2.60512098004817e-14,2.2222222222222223,15.136360002699535,0.35772159616015786,0.24795371580381653,0.0,0.6083665264603135,1.034866636828724e-13,0.0,0.0,3.3333333333333335
6.865168156178214e-14,2.303030303030303,16.26727749534333,0.36609522818981377,0.25375787523621973,0.0,0.5997280803942313,1.9748647162032285e-12,0.0,0.0,3.4545454545454546
1.255376011477516e-13,2.3838383838383836,17.39067292377279,0.37442045870026996,0.2595284852920541,0.0,0.591205933666069,3.516215096865949e-13,0.0,0.0,3.5757575757575757
1.5781733558872801e-13,2.4646464646464645,18.50683590527217,0.38266910422987666,0.26524601068433906,0.0,0.5828329270759578,3.572295237397327e-12,0.0,0.0,3.696969696969697
2.0903417885520525e-16,2.5454545454545454,19.61605800312677,0.3908165625043747,0.27089339841603666,0.0,0.5746362444565641,1.8973711490843925e-13,0.0,0.0,3.8181818181818183
1.4793895275477809e-13,2.6262626262626263,20.718629813850683,0.39884189402960946,0.27645613433581184,0.0,0.5666377109081899,2.073397009638711e-12,0.0,0.0,3.9393939393939394
1.4105990681079206e-13,2.707070707070707,21.814838491501696,0.40672773628675474,0.2819221836626924,0.0,0.5588542243893664,1.2421869088896642e-12,0.0,0.0,4.0606060606060606
2.0531970221226992e-13,2.787878787878788,22.904965709529627,0.41446010023327995,0.28728184993128947,0.0,0.5512982632237852,8.391898287385402e-13,0.0,0.0,4.181818181818182
5.012483483834984e-15,2.8686868686868685,23.98928603827475,0.4220280894670143,0.29252758033116155,0.0,0.5439784239091172,1.6064927166326015e-12,0.0,0.0,4.303030303030303
2.8406096919120216e-16,2.9494949494949494,25.068065700184334,0.4294235798756927,0.2976537436567943,0.0,0.5368999566771817,7.953082636902309e-13,0.0,0.0,4.424242424242424
4.374339432344776e-13,3.0303030303030303,26.141561658892897,0.4366408845862657,0.3026563980681707,0.0,0.530065275884371,2.436842394537564e-12,0.0,0.0,4.545454545454546
4.7900051980409586e-15,3.111111111111111,27.210020994991485,0.44367642398367524,0.3075330623652035,0.0,0.5234744313625904,4.860070679235662e-13,0.0,0.0,4.666666666666667
1.371971113106607e-13,3.191919191919192,28.273680522660136,0.4505284132223344,0.31228249938720687,0.0,0.5171255333658458,1.3593570713510417e-12,0.0,0.0,4.787878787878788
9.345432414042953e-14,3.272727272727273,29.33276660458542,0.4571965737640431,0.31690451606621384,0.0,0.5110151281809903,5.74876951597858e-12,0.0,0.0,4.909090909090909
5.772292366312826e-16,3.3535353535353534,30.387495126685238,0.4636818755503702,0.32139978471448716,0.0,0.5051385250745185,8.710532295452822e-13,0.0,0.0,5.03030303030303
1.192622389734055e-16,3.4343434343434343,31.438071599380702,0.4699863067404517,0.3257696834189261,0.0,0.4994900769369442,1.922767500772693e-13,0.0,0.0,5.151515151515151
1.0287560733845957e-13,3.515151515151515,32.48469135653666,0.4761126744079416,0.3300161578947196,0.0,0.4940634184066724,2.9490576647361877e-12,0.0,0.0,5.2727272727272725
