U,E_p,V,S,E_GS,Coh,E_p_bits
-5.848101265822785,0.4794826545597761,3.2911392405063293,0.37813352340713985,-18.572655199312265,0.182505881338299,0.6917472479256657
-5.848101265822785,0.4792430946101538,3.392405063291139,0.37634606187016256,-18.559122827912997,0.17991776372900464,0.6914016359743487
-5.848101265822785,0.47815910601753586,3.4936708860759493,0.3739409861796252,-18.54597836174234,0.1773830253117224,0.6898377710074
-5.848101265822785,0.4788131268700262,3.5949367088607596,0.3729923783758358,-18.533217547730764,0.17498161927044834,0.6907813236479248
-5.848101265822785,0.47861000601755554,3.6962025316455698,0.3714084970150167,-18.52080781872667,0.17262438844092806,0.6904882822013638
-5.848101265822785,0.4784205062934621,3.7974683544303796,0.3698882516000303,-18.50873761688867,0.17033776939869774,0.6902148918891644
-5.848101265822785,0.47822712912189136,3.8987341772151898,0.36841386014450883,-18.4969915596406,0.16811680339017102,0.6899359076027185
-5.848101265822785,0.47805336353437244,4.0,0.3670011659423282,-18.485555266971158,0.16595894032214462,0.6896852168513279
-5.69620253164557,0.21614829419781856,-4.0,0.17354684014090815,-49.502347750771,0.07360056921232323,0.3118360721358018
-5.69620253164557,7.300985004077276e-5,-3.8987341772151898,0.02856232650802672,-48.69678873990651,0.07920296233664584,0.0001053309485898879
-5.69620253164557,0.005212400203854939,-3.7974683544303796,0.030573050565415854,-47.89127778729113,0.08033771735721731,0.007519903925230054
-5.69620253164557,0.005149005874441004,-3.6962025316455698,0.031193989156492668,-47.085854178388146,0.08119560341748207,0.0074284452405644075
-5.69620253164557,0.00012531521281133884,-3.5949367088607596,0.030523638848232875,-46.280574127045305,0.08247018916855516,0.0001807916360707651
-5.69620253164557,0.00012017983345558036,-3.4936708860759493,0.03122207074194644,-45.475405232952625,0.08362332923939905,0.00017338284974144358
-5.69620253164557,0.010660837687468172,-3.392405063291139,0.03513025185772606,-44.67034839698563,0.08455891085037785,0.01538033766343272
-5.69620253164557,0.0003741783825781386,-3.2911392405063293,0.03275216349323699,-43.865458458743944,0.08608555382345702,0.0005398252969537332
-5.69620253164557,0.000520289727528489,-3.189873417721519,0.03356052084568043,-43.060686464332484,0.08731254744677107,0.0007506194097310903
-5.69620253164557,0.0003502883743955465,-3.088607594936709,0.034350039938607635,-42.25607069134544,0.088701335336712,0.0005053593006216772
-5.69620253164557,0.0003143579771207605,-2.9873417721518987,0.03519478551956869,-41.45160541319318,0.0900788020020744,0.00045352269465581685
-5.69620253164557,0.0008271838327349457,-2.8860759493670884,0.03618507158061385,-40.64729944851125,0.09145813530661029,0.0011933740133902582
-5.69620253164557,0.0005073260558008386,-2.7848101265822787,0.03705324321271669,-39.84317949403902,0.0930341615448431,0.0007319167848183206
-5.69620253164557,0.04791515016652448,-2.6835443037974684,0.05772387749169677,-39.03931048685267,0.09470006306177671,0.06912694952869503
-5.69620253164557,0.0056111807272927194,-2.5822784810126582,0.040424527604521164,-38.23551192648217,0.09636782098275398,0.008095222608797137
-5.69620253164557,0.024249001600931352,-2.481012658227848,0.04848450262045665,-37.43201572682683,0.09818010554945437,0.0349839143561721
-5.69620253164557,0.05291126606515162,-2.3797468354430378,0.0634336526009816,-36.62875579854793,0.09987821674917641,0.07633482115935042
-5.69620253164557,0.0009901728009675814,-2.278481012658228,0.04252456838508212,-35.825577440169106,0.10158226439981256,0.0014285173895789427
-5.69620253164557,0.19793730497397855,-2.1772151898734178,0.16913815565812662,-35.023116287674,0.10024239825923673,0.2855631682928852
-5.69620253164557,0.1288398730647322,-2.0759493670886076,0.11499641926112404,-34.22055053671974,0.1048281306317075,0.18587664593925313
-5.69620253164557,0.0020518436427445774,-1.9746835443037976,0.04675761188435364,-33.418053083053486,0.10784937371208253,0.0029601846480673544
-5.69620253164557,0.12896213831207604,-1.8734177215189873,0.11752961658090709,-32.6165917347178,0.10944791534789403,0.1860530374052689
-5.69620253164557,0.038111602651174525,-1.7721518987341771,0.06385699729869987,-31.81494941472876,0.11337725648496427,0.054983420145179984
-5.69620253164557,0.015671233957677444,-1.6708860759493671,0.05597736963600911,-31.013860108571496,0.11609489270146058,0.022608811515352212
-5.69620253164557,0.16090182730858404,-1.5696202531645569,0.1457366542568189,-30.213918963559202,0.1169274985280079,0.23213226832806644
-5.69620253164557,0.0050961082347082964,-1.4683544303797469,0.05635871969021992,-29.41325963343125,0.12172327416902234,0.00735213007804747
-5.69620253164557,0.011065185677135103,-1.3670886075949367,0.06048664677340049,-28.61417343538916,0.1259604397354953,0.015963688502918405
-5.69620253164557,0.016827185590333027,-1.2658227848101267,0.06499762967893469,-27.815845195072793,0.1302099386577072,0.02427649720329139
