m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,Q_2_bits,S,m_cdw,coh_2rdm,Q_2,U
0.0922760486182628,2.693877551020408,-12.82173769371978,0.043269995836776154,0.029992475617101944,0.7044191475583002,0.06758695276891435,0.2771138475406624,0.7552277569995802,1.777376263240988,0.04684770575441055,-6.0
0.09315328773467894,2.857142857142857,-12.788859463960055,0.037859186809468426,0.02624198859527538,0.6906270917529813,0.05908357902747019,0.27292731697024025,0.7595018284359079,1.7285411857648743,0.04095361622028104,-6.0
0.09390246790875599,3.020408163265306,-12.758760964864022,0.033324228000959355,0.023098594683201634,0.678035525968355,0.05196395200074866,0.2693665670100015,0.7631558275158623,1.6843611682463318,0.036018666820071044,-6.0
0.09454582999276508,3.183673469387755,-12.731084623356178,0.02949704841014844,0.020445795940334355,0.6664886348837626,0.04596093830999415,0.26631405443948564,0.7663063150228453,1.6441918017016777,0.03185769480546119,-6.0
0.09510121778663294,3.3469387755102042,-12.705532920813733,0.02622354574463781,0.01817677679718055,0.6546093382003448,0.04082383660309885,0.263677658319083,0.7690438555597657,1.6037537770931158,0.028296927241076908,-6.0
0.09558302083214965,3.510204081632653,-12.681856322922258,0.023467650316998157,0.016266535651593417,0.6460292311911475,0.036514552170729964,0.26138467058311343,0.7714394784823778,1.5738465761114602,0.025309958886550632,-6.0
0.09600331738846393,3.673469387755102,-12.6598438870393,0.021079683586436193,0.01461132324503378,0.6369142206807327,0.03277717471445474,0.2593777452478956,0.7735492188791778,1.5428551680911073,0.022719406240044204,-6.0
0.09637082192932486,3.836734693877551,-12.639316372728716,0.019015885748603356,0.013180807592494403,0.6284328110124067,0.029549145664446552,0.2576097834047403,0.7754187875798171,1.5142145279478163,0.020481907005266642,-6.0
0.09669425251924806,4.0,-12.620119800886892,0.017223424221743056,0.011938367938889138,0.6205173846975013,0.02674703328415129,0.25604392078383087,0.7770844864486294,1.4876594021853145,0.018539630709252464,-6.0
0.09019982235212526,-4.0,-36.088815690551044,0.009923527552563538,0.006878465144268375,0.5069491872539984,0.015107117546360183,0.23381137937690383,0.39586958006297834,1.174111055688667,0.01047145593364629,-5.755102040816326
