U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-4.5,0.029307558923834298,-0.7478714561021471,-0.18596531402628974,2.6666666666666665,0.2935603175748147,-9.903946503643837,0.3739837806228739,0.04228186991997651
-4.5,0.022393300659456328,-0.7578420633296254,-0.18884883880184983,3.0,0.2833931612942697,-9.828588630696697,0.35627959636995965,0.03230670381053313
-4.5,0.01720660749430558,-0.7645368414517679,-0.1911425659946933,3.3333333333333335,0.2716761363992071,-9.766783639996405,0.3420081101258964,0.02482388730255769
-4.5,0.01377542734061099,-0.7700522398569518,-0.19298133174570256,3.6666666666666665,0.26967057737693906,-9.71297796543239,0.3317302363925621,0.01987374071042547
-4.5,0.01113592588383372,-0.7742046875343892,-0.19421821413551726,4.0,0.26511617878166377,-9.667279788366656,0.3221306062559005,0.016065745048314373
-4.0,0.008577862502092692,0.3912589676025835,0.17913371816121587,-4.0,0.24056912320303195,-32.6264926935322,0.27253326193642935,0.012375239693196427
-4.0,0.012529252670621549,0.3900532020572138,0.17479141990795094,-3.6666666666666665,0.24749089044558836,-30.671068911041992,0.2871279774919478,0.018075890693950658
-4.0,0.011034744601796431,0.39035214923898975,0.17085767946381625,-3.3333333333333335,0.2533957797269214,-28.722883102820255,0.29839022122581427,0.015919771314488074
-4.0,0.010536167627070103,0.3907354088123223,0.16566453534212325,-3.0,0.2605496108320525,-26.78267180970839,0.3046467693353984,0.015200476785549366
-4.0,0.01619029673749184,0.38995424848176946,0.1572796457279423,-2.6666666666666665,0.27241199154211565,-24.852662430106307,0.3210609945168633,0.023357660813700054
-4.0,0.014478293662879116,0.39015580922520093,0.14746461349036497,-2.3333333333333335,0.2860511694000386,-22.945668158070117,0.3503580500265967,0.02088776246796975
-4.0,0.019404318761339967,0.3896142813106572,0.13326169187021536,-2.0,0.3046993870375504,-21.055660704687618,0.37604877463789244,0.027994514448813845
-4.0,0.025640685926261453,0.3889436196497841,0.11414249975712312,-1.6666666666666667,0.32865938079343665,-19.19472825130976,0.40609922780731944,0.036991690430808966
-4.0,0.03728890860859191,0.38635901530773353,0.08780776263820059,-1.3333333333333333,0.36088375610721346,-17.37459944634159,0.44380883994001424,0.053796523529777485
-4.0,0.06103605915897625,0.37724246882977436,0.05203664367204293,-1.0,0.40622588140585203,-15.613814570323434,0.4939029127657664,0.08805641986405988
-4.0,0.11681581994613444,0.3440823049945001,0.005259358697671235,-0.6666666666666666,0.4804540164482164,-13.948627030804685,0.5675114333434089,0.1685296041336657
-4.0,0.23170887872720525,0.2232839076739061,-0.045355466774325455,-0.3333333333333333,0.6167761907950624,-12.484211891322065,0.6577955539733618,0.33428525026968137
-4.0,0.287059642750068,3.6964442307052535e-8,-0.06929138341178567,0.0,0.6902550594105429,-11.423450598883925,0.7016062091613954,0.4141395230348808
-4.0,0.28009276833972296,-0.20335073807216456,-0.08544187042799456,0.3333333333333333,0.6531489613887218,-10.699168799066038,0.6692057775977687,0.40408844787257925
-4.0,0.2355868032037376,-0.3893822857744255,-0.10972435334193616,0.6666666666666666,0.5760703435603322,-10.166945509579618,0.6145474592922333,0.33987991268091644
-4.0,0.17126994394760042,-0.5320944551016389,-0.13470309448951895,1.0,0.4884599330997245,-9.780756647814242,0.5563714117531684,0.2470902987865342
-4.0,0.1162825525961233,-0.6224467446461766,-0.15408819154259606,1.3333333333333333,0.41799007638434277,-9.503962688002892,0.5052008544914761,0.1677602619723375
-4.0,0.07866929189973249,-0.6763812828131343,-0.16742878300983208,1.6666666666666667,0.36937526296193407,-9.301778182231537,0.4628036590898485,0.11349579729399029
-4.0,0.05452025827669438,-0.7094180143563859,-0.17634638421399335,2.0,0.3368292992251556,-9.14915600337207,0.42930183110350134,0.0786561062437725
-4.0,0.0390132705811328,-0.7306816599888158,-0.18239360255612408,2.3333333333333335,0.3146692476027943,-9.030094235018234,0.40282372643016956,0.05628425199625964
-4.0,0.028783057038118676,-0.745067449562778,-0.18658787621276923,2.6666666666666665,0.299050317740985,-8.9345647996404,0.38159378663096366,0.041525173650518
-4.0,0.021738043258732187,-0.7553088282106082,-0.1894559263098407,3.0,0.2878654135808063,-8.85583415574062,0.3640967063599769,0.031361367208002644
-4.0,0.01706571671508139,-0.762740777379304,-0.19172066667997972,3.3333333333333335,0.2793249983768568,-8.790235561852768,0.3498180415191208,0.02462062487406369
-4.0,0.013459123655527927,-0.7685621534577822,-0.1933258803225226,3.6666666666666665,0.2725393651717274,-8.734104335860899,0.3370923618991245,0.01941741095254157
-4.0,0.010981921550991425,-0.7730201033019097,-0.19457040202785347,4.0,0.26878981293098064,-8.6849669661215,0.3262714440469109,0.015843563761047452
-3.5,0.08752338231564138,0.35778398915268417,0.14860494989996575,-4.0,0.28858933633765416,-31.633719613230227,0.3120931325052271,0.12626954962860504
-3.5,0.0658687038804393,0.36951519613064254,0.1569779793864738,-3.6666666666666665,0.27873802897023026,-29.685775442464497,0.3198551217359085,0.09502845243809332
