U,V,magnetization,charge_density
-5.755102040816326,-3.3469387755102042,"0.01246280962449211, 0.4665604730052363, 0.041962607730885115, 0.4665457492064288, 0.012468360432958188","0.025861746958198373, 1.495624746948149, 1.9569873675054583, 1.4956542796062111, 0.02587185898198255"
-5.755102040816326,-3.183673469387755,"0.01352703395974716, 0.46353439533963936, 0.04582604619286612, 0.4636058308074654, 0.013506693700281916","0.02753995010051203, 1.4960375976931366, 1.953012277565533, 1.4959105097871128, 0.02749966485370787"
-5.755102040816326,-3.020408163265306,"0.014728168106293092, 0.46015793461119614, 0.05021168937472387, 0.46017779758694144, 0.014724410320845609","0.029400294097863267, 1.496373417536025, 1.9484912466641156, 1.4963426370733144, 0.029392404628681416"
-5.755102040816326,-2.857142857142857,"0.0008071874220368779, 0.012620945436084507, 0.37356907768405523, 0.05911118326598763, 0.5538916061918362","0.0016777031078123131, 0.04477476325821479, 1.5835603037209218, 1.9387247347936956, 1.4312624951193567"
-5.755102040816326,-2.693877551020408,"0.017673191030787624, 0.4518840632462293, 0.06088470851678862, 0.45188624304494107, 0.017671794161253813","0.03386617030219104, 1.497403414616525, 1.9374701878744078, 1.497397254258752, 0.03386297294812564"
-5.755102040816326,-2.5306122448979593,"0.01944250565205103, 0.4468915017774624, 0.06756475930103145, 0.4460784080916538, 0.020022825177802107","0.03653515235050495, 1.4964464349856608, 1.9304917941319388, 1.4987755185564837, 0.037751099975412844"
-5.755102040816326,-2.36734693877551,"0.021722448620369886, 0.4407881018517814, 0.07492949928661596, 0.4409487981749245, 0.02161115206630812","0.039954695533402924, 1.4989919786432526, 1.9228852424876437, 1.498465927717908, 0.039702155617792556"
-5.755102040816326,-2.204081632653061,"0.024068091211374647, 0.4341711735307464, 0.0835197031544812, 0.4341793524981167, 0.02406167960528148","0.043330145732740986, 1.4997162515878828, 1.9139453984150714, 1.4996925619090327, 0.04331564235527237"
-5.755102040816326,-2.0408163265306123,"0.02694290098639018, 0.4263172565866943, 0.09347943640146006, 0.4263187002052208, 0.02694170582023456","0.047553601803670034, 1.5006943539785804, 1.9035114778200497, 1.5006897497438265, 0.0475508166538737"
-5.755102040816326,-1.8775510204081634,"0.03039006388080657, 0.41708992097785746, 0.1049172891738015, 0.41773103090521424, 0.029871695062320174","0.05271511612541934, 1.5030420619826566, 1.8915691165751805, 1.5011385673639237, 0.05153513795281931"
