U,quantum_coherence_1rdm_GS,energy_GS,V,quantum_coherence_2rdm_GS,von_neumann_1rdm_GS,von_neumann_2rdm_GS
-5.878787878787879,1.087913203247226,-13.628836450378207,0.6666666666666666,3.358564455502145,0.27132122052582686,0.43576464996251074
-5.878787878787879,1.054694509142603,-13.494264158814413,0.7878787878787878,3.1904403504810945,0.23827675162358086,0.3815212906556118
-5.878787878787879,1.020073622483076,-13.376280624019671,0.9090909090909091,3.0293296118689574,0.20670157444462944,0.3299584875253614
-5.878787878787879,0.9858057651371916,-13.272793231691992,1.0303030303030303,2.8768008695131417,0.17804911891757014,0.28341018736909396
-5.878787878787879,0.9530467930212507,-13.181790999320928,1.1515151515151516,2.7364362470207197,0.15293678083352957,0.24280721091478563
-5.878787878787879,0.922421954876715,-13.101449377493594,1.2727272727272727,2.608945883481466,0.13139975899959833,0.20813216639748955
-5.878787878787879,0.894176464112931,-13.030176419025508,1.393939393939394,2.4940789096715106,0.11315543382552051,0.1788669386426509
-5.878787878787879,0.8683197118467945,-12.966616464517521,1.5151515151515151,2.390954456568262,0.09779181194287379,0.15430168287362012
-5.878787878787879,0.8447318134416246,-12.909630982202055,1.6363636363636365,2.298411327639289,0.08487626999268993,0.1337083011468807
-5.878787878787879,0.8232323110729656,-12.858270376808592,1.7575757575757576,2.215284070690381,0.07400817661024761,0.11642156275598392
-5.878787878787879,0.8036206543074285,-12.81174449680973,1.878787878787879,2.1404451816177623,0.06483879643047974,0.10186770804309386
-5.878787878787879,0.7856983204197305,-12.769395470220308,2.0,2.0728648253085535,0.05707446741239597,0.08956689578218624
-5.878787878787879,0.7692797340410322,-12.730674196096738,2.121212121212121,2.011628785762967,0.05047230371991129,0.07912439959673767
-5.878787878787879,0.7541967041322468,-12.695120671842838,2.242424242424242,1.9559428707704296,0.04483319432444732,0.07021806908511508
-5.878787878787879,0.7403001395175568,-12.662347834166674,2.3636363636363638,1.9051229711492064,0.03999466710061239,0.0625860107401155
-5.878787878787879,0.7274583685231601,-12.63202841861392,2.484848484848485,1.8585695073733364,0.03582416926870646,0.05601523331080971
-5.878787878787879,0.7155567034619912,-12.603884324938978,2.606060606060606,1.815818532859835,0.03221343239582941,0.050332247464128343
-5.878787878787879,0.7044950323494072,-12.577678023135519,2.727272727272727,1.7763958317922623,0.02907378222833157,0.045395302574313234
-5.878787878787879,0.6941859212807318,-12.553205603779803,2.8484848484848486,1.7399178718828079,0.026332336529079514,0.04108813834424563
-5.878787878787879,0.684553056817342,-12.530291146167876,2.9696969696969697,1.7060647891547989,0.023928966454689116,0.0373150189197049
-5.878787878787879,0.6755298222815518,-12.508782140355997,3.090909090909091,1.674560109383541,0.02181386533581331,0.033996776444003896
-5.878787878787879,0.6670578068737893,-12.488545752131026,3.212121212121212,1.6451637400222894,0.01994560028557424,0.031067652480766483
-5.878787878787879,0.6590858434260487,-12.469465763223948,3.3333333333333335,1.6176669588513202,0.018289560312680697,0.02847279056627361
-5.878787878787879,0.651569241922296,-12.45144005381488,3.4545454545454546,1.591888350623424,0.016816712993868776,0.026166233176416753
-5.878787878787879,0.6444680725586707,-12.434378521931617,3.5757575757575757,1.5676676414207213,0.015502605388153956,0.02410931433600272
-5.878787878787879,0.637746787293169,-12.418201356173249,3.696969696969697,1.5448632569180492,0.014326498745797833,0.022269274010831452
